location.name,location.region,location.country,location.lat,location.lon,location.tz_id,current.temp_c,current.temp_f,current.condition.text,current.condition.icon,current.wind_kph,current.pressure_in,current.precip_in,current.humidity,current.cloud,current.last_updated_epoch
Munich,Bayern,Germany,48.15,11.583,Europe/Berlin,16.0,60.8,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.6,30.24,0.0,45,0,1775561400
Hamburg,Hamburg,Germany,53.55,10.0,Europe/Berlin,11.2,52.2,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,13.0,30.36,0.0,58,0,1775560500
Frankfurt Am Main,Hessen,Germany,50.117,8.683,Europe/Berlin,15.1,59.2,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.7,30.3,0.0,41,0,1775560500
Christianshavn,Hovedstaden,Denmark,55.683,12.583,Europe/Copenhagen,7.9,46.1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,22.3,30.29,0.0,45,5,1775560500
Norrmalm,Stockholms Lan,Sweden,59.333,18.067,Europe/Stockholm,5.1,41.2,Light rain,//cdn.weatherapi.com/weather/64x64/day/296.png,24.1,30.15,0.0,81,75,1775561400
Kuala Lumpur,Kuala Lumpur,Malaysia,3.167,101.7,Asia/Kuala_Lumpur,33.0,91.4,Patchy rain nearby,//cdn.weatherapi.com/weather/64x64/night/176.png,9.0,29.77,0.0,63,25,1775560500
Windsor Park Estate,,Singapore,1.357,103.825,Asia/Singapore,28.3,82.9,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,9.4,29.8,0.0,84,75,1775561400
Tsim Sha Tsui,,Hong Kong,22.3,114.167,Asia/Hong_Kong,28.2,82.8,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,15.8,29.77,0.0,79,50,1775561400
Chiupokou,T'ai-pei,Taiwan,25.033,121.567,Asia/Taipei,20.0,68.0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,13.3,29.94,0.01,88,75,1775561400
Kiyabo,Manila,Philippines,14.6,120.983,Asia/Manila,31.4,88.5,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,13.0,29.8,0.0,66,25,1775561400
Mentengwadas,Jakarta Raya,Indonesia,-6.213,106.843,Asia/Jakarta,30.4,86.7,Light rain shower,//cdn.weatherapi.com/weather/64x64/night/353.png,13.0,29.77,0.01,75,25,1775560500
Hanh Thong Tay,,Vietnam,10.833,106.65,Asia/Ho_Chi_Minh,33.0,91.4,Sunny,//cdn.weatherapi.com/weather/64x64/night/113.png,23.0,29.77,0.0,63,0,1775560500
Tay Ho,,Vietnam,21.067,105.833,Asia/Bangkok,32.0,89.6,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,21.6,29.59,0.0,71,50,1775561400
Santiago,Region Metropolitana,Chile,-33.45,-70.667,America/Santiago,10.2,50.4,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,3.6,30.0,0.0,82,0,1775561400
Lima,Lima,Peru,-12.05,-77.05,America/Lima,20.8,69.4,Partly Cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,9.0,29.85,0.0,83,26,1775560500
El Prado,Cundinamarca,Colombia,4.717,-74.067,America/Bogota,7.9,46.2,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.2,30.05,0.0,91,25,1775561400
Caracas,Distrito Federal,Venezuela,10.5,-66.917,America/Caracas,19.5,67.1,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png,7.6,29.94,0.0,94,64,1775561400
Montreal,Quebec,Canada,45.5,-73.583,America/Toronto,-4.0,24.8,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,15.8,30.12,0.0,54,100,1775561400
Vancouver,British Columbia,Canada,49.25,-123.133,America/Vancouver,7.0,44.6,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,34.6,30.0,0.0,70,25,1775561400
Calgary,Alberta,Canada,51.083,-114.083,America/Edmonton,0.1,32.2,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,4.7,29.52,0.0,86,25,1775561400
Edmonton,Alberta,Canada,53.55,-113.5,America/Edmonton,0.5,32.9,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,13.3,29.65,0.0,72,0,1775560500
Ottawa,Ontario,Canada,45.417,-75.7,America/Toronto,-4.0,24.8,Light snow,//cdn.weatherapi.com/weather/64x64/day/326.png,16.2,30.08,0.0,74,100,1775560500
Place Royal,Quebec,Canada,46.817,-71.2,America/Toronto,-9.0,15.8,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,10.1,30.16,0.0,57,50,1775561400
Saint Boniface,Manitoba,Canada,49.9,-97.1,America/Winnipeg,-7.9,17.8,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,9.4,30.4,0.0,92,0,1775561400
Halifax,Nova Scotia,Canada,44.65,-63.6,America/Halifax,-0.1,31.8,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,16.2,30.04,0.0,74,0,1775560500
Saint John's,Newfoundland and Labrador,Canada,47.55,-52.667,America/St_Johns,-0.8,30.6,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,37.8,29.65,0.0,80,75,1775561400
Regina,Saskatchewan,Canada,50.45,-104.617,America/Regina,-1.6,29.1,Overcast,//cdn.weatherapi.com/weather/64x64/night/122.png,33.8,29.96,0.0,63,100,1775560500
Saskatoon,Saskatchewan,Canada,52.133,-106.667,America/Regina,-1.8,28.8,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,31.0,29.85,0.0,80,75,1775561400
Thunder Bay,Ontario,Canada,48.4,-89.233,America/Toronto,-16.8,1.8,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,8.3,30.44,0.0,84,50,1775561400
Sudbury,Ontario,Canada,46.5,-80.967,America/Toronto,-14.7,5.5,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,7.6,30.26,0.0,71,50,1775560500
Kingston,Ontario,Canada,44.233,-76.483,America/Toronto,-0.6,30.9,Patchy snow possible,//cdn.weatherapi.com/weather/64x64/day/179.png,25.6,30.02,0.0,92,60,1775560500
